Vendor_ID,Vendor_Name,District,City,Shop_Address,Products_Sold,Price_Range,Contact_Number
20,Patil Agro Agency,Dhule,Dhule,Old Agra Rd,Fertilizers,300–1700,9XXXXXXXX0
21,New India Agro,Jalgaon,Jalgaon,MIDC,"Seeds, Pumps",500–9000,9XXXXXXXX1
22,Samarth Krushi,Ahmednagar,Ahmednagar,Savedi,Pesticides,250–1600,9XXXXXXXX2
23,Farmers Choice,Nashik,Nashik,Panchavati,Seeds,200–1200,9XXXXXXXX3
24,Agrotech Solutions,Aurangabad,Chhatrapati Sambhajinagar,CIDCO,Drip Systems,2000–25000,9XXXXXXXX4
25,GrowMore Agro,Parbhani,Parbhani,Station Rd,Fertilizers,350–2000,9XXXXXXXX5
26,Vishwa Agro,Hingoli,Hingoli,Bus Stand,Seeds,300–1500,9XXXXXXXX6
27,Shakti Agro,Washim,Washim,Risod Rd,Pesticides,250–1800,9XXXXXXXX7
28,AgroMart,Akola,Akola,Cotton Market,"Seeds, Fertilizers",400–2200,9XXXXXXXX8
29,EcoFarm Supplies,Amravati,Amravati,Badnera Rd,Organic Inputs,500–3000,9XXXXXXXX9
30,Vaishali Agro,Buldhana,Buldhana,Khamgaon Rd,Fertilizers,300–1900,9XXXXXXXX0
31,Kaveri Seeds Hub,Nagpur,Nagpur,Sitabuldi,Hybrid Seeds,800–3500,9XXXXXXXX1
32,Vidarbha Agro,Wardha,Wardha,Sevagram,Tools,500–6000,9XXXXXXXX2
33,Krushi Sathi,Chandrapur,Chandrapur,Ballarpur Rd,Pesticides,250–2000,9XXXXXXXX3
34,Farmer First,Gondia,Gondia,Main Rd,Seeds,300–1400,9XXXXXXXX4
35,Jay Agro Agency,Gadchiroli,Gadchiroli,Market Area,Fertilizers,350–2100,9XXXXXXXX5
36,Rural Agro Care,Bhandara,Bhandara,NH‑53,Seeds,200–1200,9XXXXXXXX6
37,Sahyadri Agro,Karad,Satara,Tasgaon Rd,Drip Irrigation,2500–30000,9XXXXXXXX7
38,Pruthvi Agro,Pandharpur,Solapur,Vitthal Rd,Fertilizers,400–1800,9XXXXXXXX8
39,Smart Farm Shop,Shirur,Pune,Nagar Rd,"Sensors, Tools",1500–12000,9XXXXXXXX9
40,Organic Krushi,Alibag,Raigad,Revdanda Rd,Organic Fertilizers,600–4000,9XXXXXXXX0
41,Konkan Agro,Ratnagiri,Ratnagiri,MIDC,Coconut Inputs,500–3500,9XXXXXXXX1
42,Coastal Farm Care,Sindhudurg,Sindhudurg,Kudal,Sprayers,800–7000,9XXXXXXXX2
43,Shree Ganesh Agro,Pen,Raigad,ST Rd,Seeds,250–1500,9XXXXXXXX3
44,Metro Agro Mart,Thane,Thane,Kalyan Rd,Gardening Tools,400–6000,9XXXXXXXX4
45,Urban Green,Navi Mumbai,Thane,Vashi,Hydroponics,2000–50000,9XXXXXXXX5
46,City Farm Needs,Mumbai,Mumbai Suburban,Andheri,"Pots, Seeds",300–5000,9XXXXXXXX6
47,Western Agro,Palghar,Palghar,Boisar,Fertilizers,350–2200,9XXXXXXXX7
48,Tribal Agro,Nandurbar,Nandurbar,Shahada Rd,Seeds,200–1200,9XXXXXXXX8
49,Tapi Agro,Jalgaon,Jalgaon,Bhusawal,Pumps,4000–25000,9XXXXXXXX9
50,Godavari Agro,Nanded,Nanded,Degloor Rd,Fertilizers,300–2000,9XXXXXXXX0
51,Marathwada Agro,Jalna,Jalna,Bus Stand,Seeds,250–1400,9XXXXXXXX1
52,Sunrise Agro,Ambajogai,Beed,College Rd,Pesticides,300–1800,9XXXXXXXX2
53,FieldPro,Udgir,Latur,MIDC,Tools,600–8000,9XXXXXXXX3
54,CropCare,Mantha,Jalna,Main Rd,Fertilizers,350–1900,9XXXXXXXX4
55,AgriPlus,Pathri,Parbhani,Market Rd,Seeds,200–1300,9XXXXXXXX5
56,Rural Green,Sillod,Aurangabad,Highway,Organic Inputs,500–3000,9XXXXXXXX6
57,Kisan Mitra,Paithan,Aurangabad,Jayakwadi Rd,Pumps,4500–28000,9XXXXXXXX7
58,FarmEase,Malegaon,Nashik,Camp Rd,Seeds,250–1500,9XXXXXXXX8
59,Green Bharat,Yeola,Nashik,Station Rd,Fertilizers,300–1800,9XXXXXXXX9
60,AgroLink,Kalwan,Nashik,Market Area,Sprayers,900–6000,9XXXXXXXX0
61,Krushi Junction,Morshi,Amravati,Bus Stand,Seeds,200–1400,9XXXXXXXX1
62,CottonGrow,Daryapur,Amravati,Cotton Mkt,Fertilizers,350–2200,9XXXXXXXX2
63,Vidarbha Seeds,Hinganghat,Wardha,NH‑361,Hybrid Seeds,800–4000,9XXXXXXXX3
64,AgriHub,Saoner,Nagpur,Market Rd,Tools,500–7000,9XXXXXXXX4
65,FarmTech,Katol,Nagpur,MIDC,Drip Systems,3000–35000,9XXXXXXXX5
66,EcoKisan,Ramtek,Nagpur,Temple Rd,Organic Inputs,600–3500,9XXXXXXXX6
67,Krushi Point,Arvi,Wardha,Main Rd,Seeds,250–1300,9XXXXXXXX7
68,GrowFast,Pulgaon,Wardha,Station Rd,Fertilizers,300–2000,9XXXXXXXX8
69,GreenField,Warora,Chandrapur,Coal Rd,Pesticides,400–2300,9XXXXXXXX9
70,AgroWorld,Mul,Chandrapur,Market Area,Seeds,250–1400,9XXXXXXXX0
71,Forest Agro,Armori,Gadchiroli,Main Rd,Fertilizers,350–2100,9XXXXXXXX1
72,Tribal Seeds,Desaiganj,Gadchiroli,NH‑353,Seeds,200–1200,9XXXXXXXX2
73,RiverSide Agro,Pauni,Bhandara,Wainganga Rd,Pumps,5000–26000,9XXXXXXXX3
74,AgriZone,Sakoli,Bhandara,Market Rd,Sprayers,800–6500,9XXXXXXXX4
75,SoilCare,Tumsar,Bhandara,MIDC,Soil Test Kits,700–4500,9XXXXXXXX5
76,Kisan AgroMart,Goregaon,Gondia,Station Rd,Seeds,250–1300,9XXXXXXXX6
77,GreenLeaf,Tirora,Gondia,Cotton Rd,Fertilizers,350–1900,9XXXXXXXX7
78,AgriNeeds,Salekasa,Gondia,Forest Rd,Tools,500–7000,9XXXXXXXX8
79,CropLine,Amgaon,Gondia,Market Area,Seeds,200–1200,9XXXXXXXX9
80,Farm Support,Sadak Arjuni,Gondia,NH‑543,Pesticides,300–2000,9XXXXXXXX0
81,Rural Krushi,Deori,Gondia,Bus Stand,Seeds,250–1400,9XXXXXXXX1
82,Sahakar Agro,Wadsa,Gadchiroli,Market Rd,Fertilizers,350–2200,9XXXXXXXX2
83,Farmer Hub,Kurkheda,Gadchiroli,Main Rd,Seeds,200–1200,9XXXXXXXX3
84,Green Harvest,Chamorshi,Gadchiroli,River Rd,Organic Inputs,600–3500,9XXXXXXXX4
85,Agro Seva,Aheri,Gadchiroli,Highway,Pumps,4500–25000,9XXXXXXXX5
86,Kisan Tools,Sironcha,Gadchiroli,Market Area,Tools,800–9000,9XXXXXXXX6
87,CropMate,Bhamragad,Gadchiroli,Bus Stand,Seeds,250–1300,9XXXXXXXX7
88,Vanashree Agro,Dhanora,Gadchiroli,Forest Rd,Fertilizers,350–2100,9XXXXXXXX8
89,Green Roots,Etapalli,Gadchiroli,Main Rd,Organic Seeds,400–2500,9XXXXXXXX9
90,AgroConnect,Korchi,Gadchiroli,Market Rd,"Seeds, Tools",300–6000,9XXXXXXXX0
